year,power_gwh,population
1986,126511,36180519
1987,132507,37326192
1988,138837,38480647
1989,143204,39628574
1990,146047,40746274
1991,148671,41687903
1992,148207,42443510
1993,154260,43297155
1994,160293,44004140
1995,164834,44541557
1996,178855,45123023
1997,187811,45666835
1998,183093,46223888
1999,181818,46730331
2000,189307,47159715
2001,189590,47566805
2002,197737,48019414
2003,210218,48500351
2004,220152,48991420
2005,220611,49490041
2006,221988,49998271
2007,232445,50528575
2008,239109,51114595
2009,228944,51728518
2010,232812,52344047
2011,237430,52995212
2012,237289,53782570
2013,232749,54678789
2014,231129,55594840
2015,226300,56723536
2016,219979,57259550
2017,220166,57635158
2018,221936,58613001
2019,218939,59587880
2020,214968,60562374
2021,201400,61502602
2022,205688,62378417
2023,191307,63212386
2024,184576,64007187
2025,195702,64747319
